Strain	Stress
2,80E-04	77,54993
2,80E-04	77,65625
2,80E-04	77,76267
2,70E-04	77,86974
2,80E-04	77,97666
2,80E-04	78,08756
2,80E-04	78,20152
2,80E-04	78,315
2,80E-04	78,42706
2,80E-04	78,53787
2,80E-04	78,64513
2,80E-04	78,75131
2,80E-04	78,86304
2,80E-04	78,97911
2,80E-04	79,09122
2,80E-04	79,20411
2,80E-04	79,32026
2,80E-04	79,43468
2,80E-04	79,54694
2,80E-04	79,66166
2,90E-04	79,77737
2,90E-04	79,8914
2,90E-04	80,00607
2,90E-04	80,11623
2,90E-04	80,22453
2,90E-04	80,3311
2,90E-04	80,43764
2,90E-04	80,54351
2,90E-04	80,69421
2,90E-04	80,83923
2,90E-04	80,98909
2,90E-04	81,13676
2,90E-04	81,28192
2,90E-04	81,42376
2,90E-04	81,56769
3,00E-04	81,7149
3,00E-04	81,86501
3,00E-04	82,01448
3,00E-04	82,16216
3,00E-04	82,3123
3,00E-04	82,46411
3,00E-04	82,61425
3,00E-04	82,77124
3,00E-04	82,87892
3,00E-04	82,9849
3,00E-04	83,09161
3,00E-04	83,19877
3,10E-04	83,30595
3,10E-04	83,41553
3,10E-04	83,52544
3,10E-04	83,63261
3,10E-04	83,73893
3,10E-04	83,84744
3,10E-04	83,95985
3,10E-04	84,07623
3,10E-04	84,19396
3,10E-04	84,31374
3,10E-04	84,43461
3,10E-04	84,55698
3,20E-04	84,6799
3,20E-04	84,79804
3,20E-04	84,91382
3,20E-04	85,02868
3,20E-04	85,14289
3,20E-04	85,25654
3,20E-04	85,36688
3,20E-04	85,4738
3,20E-04	85,58208
3,20E-04	85,69012
3,20E-04	85,8421
3,20E-04	85,987
3,20E-04	86,13651
3,20E-04	86,29291
3,20E-04	86,4485
3,20E-04	86,60265
3,20E-04	86,75047
3,20E-04	86,89179
3,20E-04	87,02679
3,20E-04	87,15819
3,20E-04	87,29449
3,30E-04	87,44021
3,30E-04	87,58588
3,30E-04	87,73898
3,30E-04	87,84566
3,30E-04	87,95396
3,30E-04	88,064
3,30E-04	88,17487
3,30E-04	88,28693
3,30E-04	88,40553
3,30E-04	88,52791
3,30E-04	88,64908
3,30E-04	88,76681
3,30E-04	88,88138
3,30E-04	88,99589
3,30E-04	89,11062
3,30E-04	89,22428
3,30E-04	89,33497
3,30E-04	89,44293
3,30E-04	89,54884
3,30E-04	89,65407
3,30E-04	89,76128
3,40E-04	89,91756
3,40E-04	90,07156
3,40E-04	90,21698
3,40E-04	90,35766
3,40E-04	90,49819
3,40E-04	90,64325
3,40E-04	90,79862
3,40E-04	90,95725
3,40E-04	91,06425
3,40E-04	91,21876
3,40E-04	91,37428
3,40E-04	91,53147
3,40E-04	91,68539
3,40E-04	91,83244
3,50E-04	91,97781
3,50E-04	92,12112
3,50E-04	92,2629
3,50E-04	92,41302
3,50E-04	92,57104
3,50E-04	92,68115
3,50E-04	92,79339
3,50E-04	92,90843
3,50E-04	93,02189
3,50E-04	93,13115
3,50E-04	93,2393
3,50E-04	93,35043
3,50E-04	93,46214
3,50E-04	93,57352
3,50E-04	93,68127
3,60E-04	93,7867
3,60E-04	93,94008
3,60E-04	94,08785
3,60E-04	94,23944
3,60E-04	94,39261
3,60E-04	94,54688
3,60E-04	94,69878
3,70E-04	94,85327
3,70E-04	94,96003
3,70E-04	95,06645
3,70E-04	95,17185
3,70E-04	95,32835
3,70E-04	95,47997
3,70E-04	95,62752
3,70E-04	95,77143
3,70E-04	95,91302
3,70E-04	96,05981
3,70E-04	96,21981
